gc,target,w
0.66,34,108
0.67,18,108
0.68,16,108
0.69,21,108
0.7,9,108
0.71,5,108
0.72,9,108
0.73,7,108
0.74,5,108
0.75,3,108
0.76,2,108
0.77,1,108
0.78,4,108
0.79,6,108
0.8,1,108
0.2,23,109
0.21,36,109
0.22,50,109
0.23,65,109
0.24,87,109
0.25,110,109
0.26,143,109
0.27,165,109
0.28,383,109
0.29,220,109
0.3,268,109
0.31,281,109
0.32,334,109
0.33,314,109
0.34,322,109
0.35,346,109
0.36,312,109
0.37,356,109
0.38,365,109
0.39,680,109
0.4,353,109
0.41,312,109
0.42,281,109
0.43,271,109
0.44,288,109
0.45,270,109
0.46,268,109
0.47,275,109
0.48,243,109
0.49,259,109
0.5,410,109
0.51,211,109
0.52,169,109
0.53,178,109
0.54,148,109
0.55,163,109
0.56,148,109
0.57,121,109
0.58,108,109
0.59,84,109
0.6,74,109
0.61,116,109
0.62,48,109
0.63,40,109
0.64,34,109
0.65,28,109
0.66,28,109
0.67,18,109
0.68,15,109
0.69,13,109
0.7,7,109
0.71,8,109
0.72,15,109
0.73,4,109
0.74,6,109
0.75,3,109
0.76,1,109
0.77,4,109
0.78,3,109
0.79,4,109
0.8,2,109
0.2,23,110
0.21,27,110
0.22,53,110
0.23,53,110
0.24,80,110
0.25,242,110
0.26,136,110
0.27,192,110
0.28,195,110
0.29,230,110
0.3,233,110
0.31,263,110
0.32,323,110
0.33,315,110
0.34,329,110
0.35,666,110
0.36,327,110
0.37,354,110
0.38,353,110
0.39,341,110
0.4,350,110
0.41,315,110
0.42,287,110
0.43,266,110
0.44,285,110
0.45,543,110
0.46,261,110
0.47,270,110
0.48,245,110
0.49,232,110
0.5,203,110
0.51,204,110
0.52,190,110
0.53,176,110
0.54,166,110
0.55,300,110
0.56,144,110
0.57,105,110
0.58,93,110
0.59,87,110
0.6,67,110
0.61,53,110
0.62,55,110
0.63,39,110
0.64,44,110
0.65,61,110
0.66,21,110
0.67,18,110
0.68,14,110
0.69,10,110
0.7,7,110
0.71,7,110
0.72,8,110
0.73,6,110
0.74,7,110
0.75,6,110
0.76,2,110
0.77,3,110
0.78,3,110
0.79,4,110
0.8,2,110
0.2,23,111
0.21,26,111
0.22,43,111
0.23,120,111
0.24,105,111
0.25,125,111
0.26,134,111
0.27,189,111
0.28,179,111
0.29,222,111
0.3,225,111
0.31,266,111
0.32,596,111
0.33,320,111
0.34,312,111
0.35,353,111
0.36,342,111
0.37,330,111
0.38,364,111
0.39,339,111
0.4,336,111
0.41,628,111
0.42,272,111
0.43,273,111
0.44,277,111
0.45,269,111
0.46,273,111
0.47,247,111
0.48,247,111
0.49,265,111
0.5,411,111
0.51,180,111
0.52,197,111
0.53,156,111
0.54,167,111
0.55,147,111
0.56,155,111
0.57,113,111
0.58,108,111
0.59,154,111
0.6,64,111
0.61,50,111
0.62,50,111
0.63,44,111
0.64,33,111
0.65,33,111
0.66,27,111
0.67,23,111
0.68,26,111
0.69,9,111
0.7,7,111
0.71,10,111
0.72,5,111
0.73,7,111
0.74,4,111
0.75,6,111
0.76,1,111
0.77,5,111
0.78,2,111
0.79,4,111
0.8,2,111
0.2,30,112
0.21,61,112
0.22,49,112
0.23,65,112
0.24,90,112
0.25,119,112
0.26,127,112
0.27,173,112
0.28,175,112
0.29,432,112
0.3,240,112
0.31,295,112
0.32,301,112
0.33,322,112
0.34,311,112
0.35,322,112
0.36,358,112
0.37,343,112
0.38,684,112
0.39,341,112
0.4,327,112
0.41,308,112
0.42,286,112
0.43,255,112
0.44,271,112
0.45,269,112
0.46,532,112
0.47,235,112
0.48,268,112
0.49,220,112
0.5,216,112
0.51,184,112
0.52,205,112
0.53,153,112
0.54,323,112
0.55,160,112
0.56,117,112
0.57,115,112
0.58,100,112
0.59,76,112
0.6,72,112
0.61,49,112
0.62,98,112
0.63,45,112
0.64,29,112
0.65,31,112
0.66,23,112
0.67,18,112
0.68,18,112
0.69,9,112
0.7,10,112
0.71,15,112
0.72,9,112
0.73,3,112
0.74,6,112
0.75,4,112
0.76,1,112
0.77,2,112
0.78,2,112
0.79,6,112
0.8,2,112
0.2,32,113
0.21,23,113
0.22,50,113
0.23,59,113
0.24,89,113
0.25,111,113
0.26,116,113
0.27,321,113
0.28,207,113
0.29,220,113
0.3,232,113
0.31,278,113
0.32,284,113
0.33,325,113
0.34,328,113
0.35,648,113
0.36,338,113
0.37,345,113
0.38,342,113
0.39,336,113
0.4,327,113
0.41,309,113
0.42,573,113
0.43,256,113
0.44,260,113
0.45,282,113
0.46,263,113
0.47,250,113
0.48,234,113
0.49,244,113
0.5,415,113
0.51,195,113
0.52,175,113
0.53,152,113
0.54,173,113
0.55,171,113
0.56,132,113
0.57,115,113
0.58,185,113
0.59,80,113
0.6,59,113
0.61,50,113
0.62,52,113
0.63,37,113
0.64,45,113
0.65,55,113
0.66,18,113
0.67,22,113
0.68,12,113
0.69,8,113
0.7,10,113
0.71,5,113
0.72,11,113
0.73,12,113
0.74,3,113
0.75,4,113
0.76,2,113
0.77,1,113
0.78,2,113
0.79,5,113
0.8,2,113
0.2,27,114
0.21,28,114
0.22,33,114
0.23,65,114
0.24,78,114
0.25,215,114
0.26,163,114
0.27,146,114
0.28,190,114
0.29,206,114
0.3,239,114
0.31,265,114
0.32,570,114
0.33,337,114
0.34,330,114
0.35,297,114
0.36,350,114
0.37,356,114
0.38,324,114
0.39,661,114
0.4,323,114
0.41,290,114
0.42,285,114
0.43,273,114
0.44,254,114
0.45,263,114
0.46,545,114
0.47,212,114
0.48,252,114
0.49,216,114
0.5,198,114
0.51,216,114
0.52,180,114
0.53,165,114
0.54,321,114
0.55,160,114
0.56,120,114
0.57,108,114
0.58,97,114
0.59,76,114
0.6,71,114
0.61,102,114
0.62,44,114
0.63,42,114
0.64,39,114
0.65,25,114
0.66,28,114
0.67,23,114
0.68,24,114
0.69,12,114
0.7,4,114
0.71,9,114
0.72,7,114
0.73,8,114
0.74,4,114
0.75,7,114
0.76,2,114
0.77,1,114
0.78,3,114
0.79,5,114
0.8,2,114
0.2,19,115
0.21,34,115
0.22,31,115
0.23,128,115
0.24,96,115
0.25,103,115
0.26,159,115
0.27,142,115
0.28,177,115
0.29,207,115
0.3,467,115
0.31,258,115
0.32,309,115
0.33,326,115
0.34,324,115
0.35,293,115
0.36,341,115
0.37,684,115
0.38,328,115
0.39,326,115
0.4,317,115
0.41,306,115
0.42,292,115
0.43,519,115
0.44,268,115
0.45,273,115
0.46,269,115
0.47,218,115
0.48,244,115
0.49,246,115
0.5,399,115
0.51,199,115
0.52,169,115
0.53,167,115
0.54,151,115
0.55,159,115
0.56,151,115
0.57,210,115
0.58,80,115
0.59,80,115
0.6,58,115
0.61,53,115
0.62,50,115
0.63,83,115
0.64,32,115
0.65,30,115
0.66,21,115
0.67,18,115
0.68,14,115
0.69,11,115
0.7,15,115
0.71,6,115
0.72,8,115
0.73,7,115
0.74,8,115
